sim,switch,win,Switch,Win,count,n_switch,perc,perc2
1,1,1,Yes,Win,1,1,0.02127659574468085,0
2,0,0,No,Lose,1,1,0.018867924528301886,0
3,0,0,No,Lose,2,2,0.03773584905660377,0.018867924528301886
4,0,1,No,Win,1,3,0.018867924528301886,0
5,0,1,No,Win,2,4,0.03773584905660377,0.018867924528301886
6,0,0,No,Lose,3,5,0.05660377358490566,0.03773584905660377
7,0,0,No,Lose,4,6,0.07547169811320754,0.05660377358490566
8,1,1,Yes,Win,2,2,0.0425531914893617,0.02127659574468085
9,1,0,Yes,Lose,1,3,0.02127659574468085,0
10,0,0,No,Lose,5,7,0.09433962264150944,0.07547169811320754
11,0,1,No,Win,3,8,0.05660377358490566,0.03773584905660377
12,0,0,No,Lose,6,9,0.11320754716981132,0.09433962264150944
13,1,1,Yes,Win,3,4,0.06382978723404255,0.0425531914893617
14,0,0,No,Lose,7,10,0.1320754716981132,0.11320754716981132
15,1,0,Yes,Lose,2,5,0.0425531914893617,0.02127659574468085
16,1,0,Yes,Lose,3,6,0.06382978723404255,0.0425531914893617
17,1,1,Yes,Win,4,7,0.0851063829787234,0.06382978723404255
18,0,1,No,Win,4,11,0.07547169811320754,0.05660377358490566
19,0,0,No,Lose,8,12,0.1509433962264151,0.1320754716981132
20,0,0,No,Lose,9,13,0.16981132075471697,0.1509433962264151
21,0,0,No,Lose,10,14,0.18867924528301888,0.16981132075471697
22,1,1,Yes,Win,5,8,0.10638297872340426,0.0851063829787234
23,1,0,Yes,Lose,4,9,0.0851063829787234,0.06382978723404255
24,0,0,No,Lose,11,15,0.20754716981132076,0.18867924528301888
25,1,1,Yes,Win,6,10,0.1276595744680851,0.10638297872340426
26,1,1,Yes,Win,7,11,0.14893617021276595,0.1276595744680851
27,1,0,Yes,Lose,5,12,0.10638297872340426,0.0851063829787234
28,1,1,Yes,Win,8,13,0.1702127659574468,0.14893617021276595
29,1,1,Yes,Win,9,14,0.19148936170212766,0.1702127659574468
30,0,1,No,Win,5,16,0.09433962264150944,0.07547169811320754
31,1,1,Yes,Win,10,15,0.2127659574468085,0.19148936170212766
32,1,0,Yes,Lose,6,16,0.1276595744680851,0.10638297872340426
33,0,1,No,Win,6,17,0.11320754716981132,0.09433962264150944
34,0,0,No,Lose,12,18,0.22641509433962265,0.20754716981132076
35,1,0,Yes,Lose,7,17,0.14893617021276595,0.1276595744680851
36,0,0,No,Lose,13,19,0.24528301886792453,0.22641509433962265
37,0,0,No,Lose,14,20,0.2641509433962264,0.24528301886792453
38,0,1,No,Win,7,21,0.1320754716981132,0.11320754716981132
39,0,0,No,Lose,15,22,0.2830188679245283,0.2641509433962264
40,0,0,No,Lose,16,23,0.3018867924528302,0.2830188679245283
41,0,0,No,Lose,17,24,0.32075471698113206,0.3018867924528302
42,0,0,No,Lose,18,25,0.33962264150943394,0.32075471698113206
43,1,1,Yes,Win,11,18,0.23404255319148937,0.2127659574468085
44,1,1,Yes,Win,12,19,0.2553191489361702,0.23404255319148937
45,1,1,Yes,Win,13,20,0.2765957446808511,0.2553191489361702
46,0,0,No,Lose,19,26,0.3584905660377358,0.33962264150943394
47,0,0,No,Lose,20,27,0.37735849056603776,0.3584905660377358
48,0,1,No,Win,8,28,0.1509433962264151,0.1320754716981132
49,1,1,Yes,Win,14,21,0.2978723404255319,0.2765957446808511
50,0,1,No,Win,9,29,0.16981132075471697,0.1509433962264151
51,0,1,No,Win,10,30,0.18867924528301888,0.16981132075471697
52,1,0,Yes,Lose,8,22,0.1702127659574468,0.14893617021276595
53,0,0,No,Lose,21,31,0.39622641509433965,0.37735849056603776
54,1,1,Yes,Win,15,23,0.3191489361702128,0.2978723404255319
55,0,0,No,Lose,22,32,0.41509433962264153,0.39622641509433965
56,1,0,Yes,Lose,9,24,0.19148936170212766,0.1702127659574468
57,1,1,Yes,Win,16,25,0.3404255319148936,0.3191489361702128
58,1,1,Yes,Win,17,26,0.3617021276595745,0.3404255319148936
59,0,0,No,Lose,23,33,0.4339622641509434,0.41509433962264153
60,0,1,No,Win,11,34,0.20754716981132076,0.18867924528301888
61,0,1,No,Win,12,35,0.22641509433962265,0.20754716981132076
62,0,1,No,Win,13,36,0.24528301886792453,0.22641509433962265
63,1,0,Yes,Lose,10,27,0.2127659574468085,0.19148936170212766
64,1,1,Yes,Win,18,28,0.3829787234042553,0.3617021276595745
65,1,1,Yes,Win,19,29,0.40425531914893614,0.3829787234042553
66,1,1,Yes,Win,20,30,0.425531914893617,0.40425531914893614
67,1,1,Yes,Win,21,31,0.44680851063829785,0.425531914893617
68,0,0,No,Lose,24,37,0.4528301886792453,0.4339622641509434
69,1,0,Yes,Lose,11,32,0.23404255319148937,0.2127659574468085
70,0,0,No,Lose,25,38,0.4716981132075472,0.4528301886792453
71,0,0,No,Lose,26,39,0.49056603773584906,0.4716981132075472
72,1,1,Yes,Win,22,33,0.46808510638297873,0.44680851063829785
73,1,1,Yes,Win,23,34,0.48936170212765956,0.46808510638297873
74,0,1,No,Win,14,40,0.2641509433962264,0.24528301886792453
75,0,0,No,Lose,27,41,0.5094339622641509,0.49056603773584906
76,0,0,No,Lose,28,42,0.5283018867924528,0.5094339622641509
77,0,1,No,Win,15,43,0.2830188679245283,0.2641509433962264
78,1,1,Yes,Win,24,35,0.5106382978723404,0.48936170212765956
79,1,1,Yes,Win,25,36,0.5319148936170213,0.5106382978723404
80,1,1,Yes,Win,26,37,0.5531914893617021,0.5319148936170213
81,1,1,Yes,Win,27,38,0.574468085106383,0.5531914893617021
82,0,1,No,Win,16,44,0.3018867924528302,0.2830188679245283
83,1,1,Yes,Win,28,39,0.5957446808510638,0.574468085106383
84,0,0,No,Lose,29,45,0.5471698113207547,0.5283018867924528
85,0,0,No,Lose,30,46,0.5660377358490566,0.5471698113207547
86,1,0,Yes,Lose,12,40,0.2553191489361702,0.23404255319148937
87,0,1,No,Win,17,47,0.32075471698113206,0.3018867924528302
88,1,0,Yes,Lose,13,41,0.2765957446808511,0.2553191489361702
89,0,1,No,Win,18,48,0.33962264150943394,0.32075471698113206
90,1,1,Yes,Win,29,42,0.6170212765957447,0.5957446808510638
91,0,1,No,Win,19,49,0.3584905660377358,0.33962264150943394
92,1,1,Yes,Win,30,43,0.6382978723404256,0.6170212765957447
93,0,0,No,Lose,31,50,0.5849056603773585,0.5660377358490566
94,1,1,Yes,Win,31,44,0.6595744680851063,0.6382978723404256
95,1,0,Yes,Lose,14,45,0.2978723404255319,0.2765957446808511
96,1,0,Yes,Lose,15,46,0.3191489361702128,0.2978723404255319
97,1,0,Yes,Lose,16,47,0.3404255319148936,0.3191489361702128
98,0,1,No,Win,20,51,0.37735849056603776,0.3584905660377358
99,0,1,No,Win,21,52,0.39622641509433965,0.37735849056603776
100,0,0,No,Lose,32,53,0.6037735849056604,0.5849056603773585
