dept,tenure,female,male,total,perc_female
BIOCHEMISTRY & BIOPHYSICS,Tenure-Eligible,1,3,4,0.25
BIOCHEMISTRY & BIOPHYSICS,Tenured,2,8,10,0.2
CHEMISTRY,Non-Tenured,4,5,9,0.4444444444444444
CHEMISTRY,Tenure-Eligible,1,5,6,0.16666666666666666
CHEMISTRY,Tenured,3,15,18,0.16666666666666666
COMPUTER SCIENCE,Non-Tenured,1,5,6,0.16666666666666666
COMPUTER SCIENCE,Tenure-Eligible,1,2,3,0.3333333333333333
COMPUTER SCIENCE,Tenured,4,19,23,0.17391304347826086
"ECOLOGY,EVOLUTION & ORG BIOLOGY",Non-Tenured,3,2,5,0.6
"ECOLOGY,EVOLUTION & ORG BIOLOGY",Tenure-Eligible,3,2,5,0.6
"ECOLOGY,EVOLUTION & ORG BIOLOGY",Tenured,3,12,15,0.2
ECONOMICS,Non-Tenured,NA,1,1,NA
ECONOMICS,Tenure-Eligible,NA,3,3,NA
ECONOMICS,Tenured,3,11,14,0.21428571428571427
ENGLISH,Non-Tenured,46,26,72,0.6388888888888888
ENGLISH,Tenure-Eligible,8,6,14,0.5714285714285714
ENGLISH,Tenured,15,13,28,0.5357142857142857
GENETICS DEVELOPMENT & CELL BIOLOGY,Non-Tenured,4,NA,4,1
GENETICS DEVELOPMENT & CELL BIOLOGY,Tenure-Eligible,2,4,6,0.3333333333333333
GENETICS DEVELOPMENT & CELL BIOLOGY,Tenured,3,7,10,0.3
GEOLOGICAL & ATMOSPHERIC SCIENCES,Non-Tenured,2,3,5,0.4
GEOLOGICAL & ATMOSPHERIC SCIENCES,Tenure-Eligible,3,2,5,0.6
GEOLOGICAL & ATMOSPHERIC SCIENCES,Tenured,2,10,12,0.16666666666666666
GREENLEE SCHOOL JOURNALISM/COMMUNICATION,Non-Tenured,10,5,15,0.6666666666666666
GREENLEE SCHOOL JOURNALISM/COMMUNICATION,Tenure-Eligible,5,1,6,0.8333333333333334
GREENLEE SCHOOL JOURNALISM/COMMUNICATION,Tenured,2,7,9,0.2222222222222222
HISTORY,Non-Tenured,2,3,5,0.4
HISTORY,Tenure-Eligible,1,6,7,0.14285714285714285
HISTORY,Tenured,5,9,14,0.35714285714285715
MATHEMATICS,Non-Tenured,13,14,27,0.48148148148148145
MATHEMATICS,Tenure-Eligible,1,8,9,0.1111111111111111
MATHEMATICS,Tenured,3,22,25,0.12
MUSIC,Non-Tenured,11,8,19,0.5789473684210527
MUSIC,Tenure-Eligible,4,2,6,0.6666666666666666
MUSIC,Tenured,4,12,16,0.25
PHILOSOPHY,Non-Tenured,2,6,8,0.25
PHILOSOPHY,Tenure-Eligible,3,5,8,0.375
PHILOSOPHY,Tenured,4,9,13,0.3076923076923077
PHYSICS & ASTRONOMY,Non-Tenured,3,6,9,0.3333333333333333
PHYSICS & ASTRONOMY,Tenure-Eligible,2,4,6,0.3333333333333333
PHYSICS & ASTRONOMY,Tenured,3,31,34,0.08823529411764706
POLITICAL SCIENCE,Non-Tenured,2,3,5,0.4
POLITICAL SCIENCE,Tenure-Eligible,4,3,7,0.5714285714285714
POLITICAL SCIENCE,Tenured,NA,7,7,NA
PSYCHOLOGY,Non-Tenured,12,4,16,0.75
PSYCHOLOGY,Tenure-Eligible,3,1,4,0.75
PSYCHOLOGY,Tenured,7,16,23,0.30434782608695654
SOCIOLOGY,Non-Tenured,3,5,8,0.375
SOCIOLOGY,Tenure-Eligible,1,1,2,0.5
SOCIOLOGY,Tenured,4,6,10,0.4
STATISTICS,Non-Tenured,3,1,4,0.75
STATISTICS,Tenure-Eligible,1,5,6,0.16666666666666666
STATISTICS,Tenured,11,18,29,0.3793103448275862
WORLD LANGUAGES & CULTURES,Non-Tenured,16,10,26,0.6153846153846154
WORLD LANGUAGES & CULTURES,Tenure-Eligible,5,2,7,0.7142857142857143
WORLD LANGUAGES & CULTURES,Tenured,12,10,22,0.5454545454545454
