rank,title,songwriter,copy_year,color_group,decade
10,Santa Claus Is Comin' to Town,Fred Coots and Haven Gillespie,1934,0,1930s
13,Winter Wonderland,Felix Bernard and Richard B. Smith,1934,1,1930s
14,White Christmas,Irving Berlin,1941,1,1940s
24,I'll Be Home for Christmas,"Kim Gannon, Walter Ken and Buck Ram",1943,0,1940s
12,Have Yourself a Merry Little Christmas,Ralph Blane and Hugh Martin,1944,1,1940s
18,Baby It's Cold Outside,Frank Loesser,1944,0,1940s
11,"Let It Snow, Let It Snow, Let It Snow",Sammy Cahn and Jule Styne,1945,1,1940s
15,The Christmas Song,Mel Torme and Robert Wells,1946,0,1940s
16,Here Comes Santa Claus (Down Santa Claus Lane),Oakley Haldeman and Gene Autry,1947,1,1940s
6,Sleigh Ride,Leroy Anderson and Mitchell Parish,1948,0,1940s
7,Rudolph the Red-Nosed Reindeer,Johnny Marks,1949,1,1940s
25,Blue Christmas,Billy Hayes and Jay Johnson,1949,0,1940s
19,Frosty the Snowman,Steve Nelson and Walter E. Rollins,1950,0,1950s
1,It's Beginning to Look a Lot Like Christmas,Meredith Willson,1951,1,1950s
22,Santa Baby,"Joan Javits, Anthony Springer and Philip Springer",1953,0,1950s
17,Home for the Holidays,Robert Allen and Al Stillman,1954,1,1950s
4,Rockin' Around the Christmas Tree,Johnny Marks,1958,0,1950s
9,Jingle Bell Rock,Joseph Carleton Beal and James Ross Boothe,1958,1,1950s
21,Jingle Bells,James Lord Pierpont; Frank Sinatra version arranged by Gordon Jenkins,1958,0,1950s
2,A Holly Jolly Christmas,Johnny Marks,1962,1,1960s
8,It's the Most Wonderful Time of The Year,Edward Pola and George Wyle,1963,0,1960s
20,Feliz Navidad,Jose Feliciano,1970,0,1970s
5,Last Christmas,George Michael,1984,1,1980s
3,All I Want For Christmas Is You,Walter Afanasieff,1994,0,1990s
23,Underneath the Tree,Kelly Clarkson and Gregory Kurstin,2013,1,2010s
